,Unnamed: 0,ORDEN,NOMBRE REGIÓN,CÓDIGO REGIÓN,EDAD,TOTAL POBLACIÓN EFECTIVAMENTE CENSADA,HOMBRES ,MUJERES,TOTAL ÁREA URBANA,HOMBRES ÁREA URBANA ,MUJERES ÁREA URBANA,TOTAL ÁREA RURAL,HOMBRES ÁREA RURAL,MUJERES ÁREA RURAL,NOMBRE COMUNA,NOMBRE PROVINCIA,CÓDIGO PROVINCIA,CÓDIGO COMUNA
714,,714,METROPOLITANA DE SANTIAGO,13,Total Región,7112808,3462267,3650541,6849310,3325682,3523628,263498,136585,126913,Todas las comunas,,,
715,,715,METROPOLITANA DE SANTIAGO,13,0,87709,44704,43005,84671,43156,41515,3038,1548,1490,Todas las comunas,,,
716,,716,METROPOLITANA DE SANTIAGO,13,1,95768,48813,46955,92193,46999,45194,3575,1814,1761,Todas las comunas,,,
717,,717,METROPOLITANA DE SANTIAGO,13,2,96222,48908,47314,92418,46980,45438,3804,1928,1876,Todas las comunas,,,
718,,718,METROPOLITANA DE SANTIAGO,13,3,93488,47746,45742,89922,45929,43993,3566,1817,1749,Todas las comunas,,,
719,,719,METROPOLITANA DE SANTIAGO,13,4,94456,48030,46426,90665,46068,44597,3791,1962,1829,Todas las comunas,,,
720,,720,METROPOLITANA DE SANTIAGO,13,5,93640,47966,45674,89764,45993,43771,3876,1973,1903,Todas las comunas,,,
721,,721,METROPOLITANA DE SANTIAGO,13,6,96207,49315,46892,92297,47336,44961,3910,1979,1931,Todas las comunas,,,
722,,722,METROPOLITANA DE SANTIAGO,13,7,95406,48776,46630,91507,46751,44756,3899,2025,1874,Todas las comunas,,,
723,,723,METROPOLITANA DE SANTIAGO,13,8,93331,47721,45610,89480,45745,43735,3851,1976,1875,Todas las comunas,,,
724,,724,METROPOLITANA DE SANTIAGO,13,9,91205,46577,44628,87384,44593,42791,3821,1984,1837,Todas las comunas,,,
725,,725,METROPOLITANA DE SANTIAGO,13,10,88630,45049,43581,84932,43172,41760,3698,1877,1821,Todas las comunas,,,
726,,726,METROPOLITANA DE SANTIAGO,13,11,87239,44573,42666,83504,42610,40894,3735,1963,1772,Todas las comunas,,,
727,,727,METROPOLITANA DE SANTIAGO,13,12,86371,44078,42293,82620,42158,40462,3751,1920,1831,Todas las comunas,,,
728,,728,METROPOLITANA DE SANTIAGO,13,13,87557,44675,42882,83756,42742,41014,3801,1933,1868,Todas las comunas,,,
729,,729,METROPOLITANA DE SANTIAGO,13,14,90497,46266,44231,86648,44238,42410,3849,2028,1821,Todas las comunas,,,
730,,730,METROPOLITANA DE SANTIAGO,13,15,92662,47204,45458,88770,45172,43598,3892,2032,1860,Todas las comunas,,,
731,,731,METROPOLITANA DE SANTIAGO,13,16,95866,48939,46927,91831,46869,44962,4035,2070,1965,Todas las comunas,,,
732,,732,METROPOLITANA DE SANTIAGO,13,17,95962,48882,47080,92003,46761,45242,3959,2121,1838,Todas las comunas,,,
733,,733,METROPOLITANA DE SANTIAGO,13,18,101781,51008,50773,98060,49066,48994,3721,1942,1779,Todas las comunas,,,
734,,734,METROPOLITANA DE SANTIAGO,13,19,106653,53863,52790,102864,51839,51025,3789,2024,1765,Todas las comunas,,,
735,,735,METROPOLITANA DE SANTIAGO,13,20,112313,57169,55144,108429,55154,53275,3884,2015,1869,Todas las comunas,,,
736,,736,METROPOLITANA DE SANTIAGO,13,21,115653,59091,56562,111838,57143,54695,3815,1948,1867,Todas las comunas,,,
737,,737,METROPOLITANA DE SANTIAGO,13,22,120778,61354,59424,116868,59351,57517,3910,2003,1907,Todas las comunas,,,
738,,738,METROPOLITANA DE SANTIAGO,13,23,121794,62009,59785,117974,59997,57977,3820,2012,1808,Todas las comunas,,,
739,,739,METROPOLITANA DE SANTIAGO,13,24,125183,64118,61065,121255,62031,59224,3928,2087,1841,Todas las comunas,,,
740,,740,METROPOLITANA DE SANTIAGO,13,25,126840,64508,62332,123063,62543,60520,3777,1965,1812,Todas las comunas,,,
741,,741,METROPOLITANA DE SANTIAGO,13,26,131004,66944,64060,127097,64842,62255,3907,2102,1805,Todas las comunas,,,
742,,742,METROPOLITANA DE SANTIAGO,13,27,132714,67778,64936,128830,65778,63052,3884,2000,1884,Todas las comunas,,,
