Año,Tasa Natalidad,Nacidos Vivos Corregidos,Población INE,Comuna
2001,10.850310008857395,49,4516,Alhué
1999,11.210762331838565,50,4460,Alhué
2000,12.00533570475767,54,4498,Alhué
2016,13.456937799043063,90,6688,Alhué
2003,13.698630136986301,65,4745,Alhué
1998,14.30517711171662,63,4404,Alhué
1995,14.781792585640545,63,4262,Alhué
2021,15.392781316348195,116,7536,Alhué
2019,15.663986692542279,113,7214,Alhué
2020,15.665091154625253,116,7405,Alhué
2012,16.100178890876567,99,6149,Alhué
2010,16.222677595628415,95,5856,Alhué
2015,16.32839920647032,107,6553,Alhué
2017,16.532553035844916,113,6835,Alhué
2018,16.80432925092566,118,7022,Alhué
1994,17.380952380952383,73,4200,Alhué
1997,17.885806007796376,78,4361,Alhué
1993,18.37080009668842,76,4137,Alhué
2005,18.511224891689643,94,5078,Alhué
2014,18.70615744349182,120,6415,Alhué
1996,19.0211087914637,82,4311,Alhué
2007,19.273535952557452,104,5396,Alhué
2006,19.487963316774934,102,5234,Alhué
2011,19.683069224353627,118,5995,Alhué
2013,19.751513220770946,124,6278,Alhué
1992,19.87730061349693,81,4075,Alhué
2002,19.925552879351873,91,4567,Alhué
2004,20.17114914425428,99,4908,Alhué
2008,20.378719567177637,113,5545,Alhué
2009,24.732503069636905,141,5701,Alhué
2020,12.686859842577139,1391,109641,Buin
2021,12.846856183107903,1438,111934,Buin
2017,13.720845660143695,1396,101743,Buin
2016,13.732419181088726,1364,99327,Buin
2019,13.786850615968444,1475,106986,Buin
2013,13.951828338434584,1290,92461,Buin
2018,14.491364603500163,1512,104338,Buin
2011,14.509259048356604,1274,87806,Buin
2015,14.553100263852244,1412,97024,Buin
2010,14.800243548311554,1264,85404,Buin
2012,14.814157721990597,1336,90184,Buin
2014,14.958302544072627,1417,94730,Buin
2005,15.530240944107524,1137,73212,Buin
2008,15.804829598361165,1273,80545,Buin
2006,16.193636231443413,1225,75647,Buin
2007,16.275883264396665,1271,78091,Buin
2009,16.29151202583506,1352,82988,Buin
2004,16.56794695995137,1172,70739,Buin
2002,18.1391020457978,1189,65549,Buin
2003,18.31485717637398,1249,68196,Buin
2001,18.39210069179898,1207,65626,Buin
2000,18.95544079903522,1226,64678,Buin
1998,19.0894799319837,1190,62338,Buin
1997,19.160032042374407,1172,61169,Buin
1999,19.33340680447754,1228,63517,Buin
1996,20.57009501583597,1234,59990,Buin
1995,21.521096113963214,1266,58826,Buin
1994,22.081964077686784,1270,57513,Buin
1993,22.17081850533808,1246,56200,Buin
1992,24.506677841954705,1345,54883,Buin
2021,8.856266583962231,257,29019,Calera de Tango
2020,9.710780017528485,277,28525,Calera de Tango
2019,10.031168272847777,280,27913,Calera de Tango
2016,10.239559851755626,268,26173,Calera de Tango
2017,11.159376872378669,298,26704,Calera de Tango
2018,11.168479255922955,305,27309,Calera de Tango
2013,11.812297734627832,292,24720,Calera de Tango
2015,12.382213223269215,318,25682,Calera de Tango
2014,13.45291479820628,339,25199,Calera de Tango
2012,13.491212146216686,327,24238,Calera de Tango
2009,13.792799541708897,313,22693,Calera de Tango
2011,13.99249799806128,332,23727,Calera de Tango
2001,14.237078303930671,276,19386,Calera de Tango
