Comuna,Hombre,Mujer,Total,Año,Sin Hacinamiento,Con Hacinamiento,No sabe,Pertenece a algún pueblo originario,No pertenece a ningún pueblo originario,Participa,No participa,Pobres,No pobres,Pobres 2020,CASEN 2015,Unnamed: 4,Codigo,Comuna ,CASEN 2011,CASEN 2015.1,CASEN 2011.1,CASEN 2013,CASEN 2011.2,CASEN 2013.1,Hombres,Mujeres,Ponlación nacida en Chile,Población nacida fuera de Chile,fonasa,ff.aa. y del orden,isapre,ninguno (particular),otro sistema,no sabe,ACEPTABLE,DEFICITARIO,TOTAL,Unnamed: 8,Ingresos del trabajo,Ingreso Autónomo,Ingreso Monetario,Ingreso Total,Unnamed: 10,Tasa Mort,Población con discapacidad,Población sin discapacidad,VIVIENDA ACEPTABLE,VIVIENDA RECUPERABLE,VIVIENDA IRRECUPERABLE
Santiago,14.2465,14.09715,14.16776,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerrillos,12.09912,11.33628,11.70725,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerro Navia,10.8217,10.20509,10.47138,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conchalí,11.5174,11.33491,11.42178,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Bosque,11.54566,11.27907,11.40437,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estación Central,12.21008,12.11204,12.15678,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huechuraba,12.1338,12.39564,12.27306,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independencia,13.50325,12.99167,13.22689,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cisterna,12.95169,12.67264,12.79405,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Florida,12.84151,12.38251,12.59194,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
