CODIGO,COMUNA,HOMBRE,MUJER,INDETERMINADO,TOTAL,Category,A,B,C,D,00 a 02 años,03 a 04 años,05 a 09 años,10 a 14 años,15 a 19 años,20 a 24 años,25 a 29 años,30 a 34 años,35 a 39 años,40 a 44 años,45 a 49 años,50 a 54 años,55 a 59 años,60 a 64 años,65 a 69 años,70 a 74 años,75 a 79 años,80 a 84 años,85 a 89 años,90 a 94 años,95 a 99 años,Más de 99 años,S.I.,Total general
13101,SANTIAGO,162581.0,183681.0,87.0,346349.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13102,CERRILLOS,29104.0,32852.0,7.0,61963.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13103,CERRO NAVIA,61258.0,64950.0,18.0,126226.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13104,CONCHALÍ,58433.0,64995.0,17.0,123445.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13105,EL BOSQUE,84428.0,90916.0,18.0,175362.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13106,ESTACIÓN CENTRAL,60152.0,65851.0,39.0,126042.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13107,HUECHURABA,35561.0,39697.0,2.0,75260.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13108,INDEPENDENCIA,50356.0,60383.0,41.0,110780.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13109,LA CISTERNA,37357.0,43958.0,10.0,81325.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13110,LA FLORIDA,163693.0,191019.0,13.0,354725.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13111,LA GRANJA,67852.0,69494.0,21.0,137367.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13112,LA PINTANA,78453.0,82778.0,11.0,161242.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13113,LA REINA,19770.0,26357.0,4.0,46131.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13114,LAS CONDES,38720.0,58449.0,5.0,97174.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13115,LO BARNECHEA,17853.0,25665.0,2.0,43520.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13116,LO ESPEJO,46889.0,49336.0,2.0,96227.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13117,LO PRADO,58087.0,65582.0,6.0,123675.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13118,MACUL,57410.0,65596.0,7.0,123013.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13119,MAIPÚ,163568.0,193469.0,13.0,357050.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13120,ÑUÑOA,47970.0,63995.0,6.0,111971.0,SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
