,Código,Comuna,Tasa de denuncia de violencia intrafamiliar,Tasa de denuncia de delitos de mayor connotación
23,13,Región Metropolitana,485.66,2345.49
284,13101,Santiago,348.19,4872.55
285,13102,Cerrillos,511.92,3426.52
286,13103,Cerro Navia,558.28,1773.06
287,13104,Conchalí,496.98,2154.53
288,13105,El Bosque,421.14,1754.66
289,13106,Estación Central,461.26,3449.35
290,13107,Huechuraba,509.24,2052.51
291,13108,Independencia,336.5,2236.23
292,13109,La Cisterna,504.38,3781.35
293,13110,La Florida,457.87,2139.93
294,13111,La Granja,551.29,2149.87
295,13112,La Pintana,591.59,1681.8
296,13113,La Reina,337.56,2291.0
297,13114,Las Condes,183.14,1893.42
298,13115,Lo Barnechea,265.5,977.9
299,13116,Lo Espejo,467.18,2274.46
300,13117,Lo Prado,803.99,2519.96
301,13118,Macul,394.66,2387.67
302,13119,Maipú,478.93,1754.7
303,13120,Ñuñoa,261.44,2555.14
304,13121,Pedro Aguirre Cerda,489.22,2175.67
305,13122,Peñalolén,491.31,1709.6
306,13123,Providencia,292.14,6235.15
307,13124,Pudahuel,684.24,2138.98
308,13125,Quilicura,435.88,1703.03
309,13126,Quinta Normal,616.9,3161.62
310,13127,Recoleta,395.52,3482.85
311,13128,Renca,458.41,1948.72
312,13129,San Joaquín,491.78,2407.81
313,13130,San Miguel,415.8,3366.52
314,13131,San Ramón,548.82,2174.17
315,13132,Vitacura,181.26,2496.65
316,13201,Puente Alto,556.67,1537.34
317,13202,Pirque,490.77,799.07
318,13203,San José de Maipo,705.66,2200.62
319,13301,Colina,498.53,1741.17
320,13302,Lampa,651.11,1859.58
321,13303,Tiltil,472.02,1815.46
322,13401,San Bernardo,589.93,2353.31
323,13402,Buin,560.39,1967.06
324,13403,Calera de Tango,393.62,1795.05
325,13404,Paine,552.71,1505.38
326,13501,Melipilla,794.74,1718.61
327,13502,Alhué,797.49,823.64
328,13503,Curacaví,651.03,1926.41
329,13504,María Pinto,633.04,978.92
330,13505,San Pedro,782.14,1531.69
331,13601,Talagante,831.6,1961.49
332,13602,El Monte,762.52,1287.06
333,13603,Isla de Maipo,706.1,1216.33
334,13604,Padre Hurtado,969.38,1404.77
335,13605,Peñaflor,708.89,1420.67
